Online ISBN,Author,Book Title,Series,Category,Publisher,Product Group,Core Subjects,Cambridge Core DOI/URL
9.78E+12,Primdahl/Swaffield,Globalisation and Agricultural Landscapes,Cambridge Studies in Landscape Ecology,Coursebooks and Recommended Reading,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Life Sciences, Ecology and Conservation, Natural Resource Management, Agriculture, Horticulture and forestry",https://doi.org/10.1017/CBO9780511844928
9.78E+12,Stritzke/Chong/Ferguson,Treatment Manual for Smoking Cessation Groups,,Professional and Individual Purchase,Cambridge University Press,Cambridge Books Online,"Medicine, Psychiatry, Epidemiology Public Health and Medical Statistics, Psychiatry and Clinical Psychology",https://doi.org/10.1017/CBO9780511544316
9.78E+12,Cox,Essentials of UMTS,The Cambridge Wireless Essentials Series,Professional and Individual Purchase,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Engineering, Wireless Communications, Communications and Signal Processing",https://doi.org/10.1017/CBO9780511536731
9.78E+12,Gilmore,"Lie Groups, Physics, and Geometry",,Professional and Individual Purchase,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Physics And Astronomy, Mathematical Methods",https://doi.org/10.1017/CBO9780511791390
9.78E+12,Fujii/Ahmed,The Spectrum of Psychotic Disorders,,Professional and Individual Purchase,Cambridge University Press,Cambridge Books Online,"Psychiatry, Psychiatry and Clinical Psychology",https://doi.org/10.1017/CBO9780511543784
9.78E+12,Castillo/Johnson,Methods in Banach Space Theory,London Mathematical Society Lecture Note Series,Monographs,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Mathematics, Abstract Analysis, Geometry and Topology, Recreational Mathematics",https://doi.org/10.1017/CBO9780511721366
9.78E+12,Ross,Sufi City,,Books for Research,Boydell & Brewer,Boydell & Brewer,"Social Sciences, Geography, Planning and Urban Geography",https://www.cambridge.org/core/product/identifier/9781580466615/type/BOOK
9.78E+12,Holdcroft/Jaggar,Core Topics in Pain,,Professional and Individual Purchase,Cambridge University Press,Cambridge Books Online,"Medicine, Anesthesia,  Intensive Care, Pain Management",https://doi.org/10.1017/CBO9780511544583
9.78E+12,Hauspie/Cameron/Molinari,Methods in Human Growth Research,Cambridge Studies in Biological and Evolutionary Anthropology,Monographs,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Medicine, Life Sciences, Pediatrics and Child Health, Biological Anthropology and Primatology",https://doi.org/10.1017/CBO9780511542411
9.78E+12,Bezuglyi/Kolyada,Topics in Dynamics and Ergodic Theory,London Mathematical Society Lecture Note Series,Monographs,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Mathematics, Differential and Integral Equations, Dynamical Systems and Control Theory, Recreational Mathematics",https://doi.org/10.1017/CBO9780511546716
9.78E+12,Mauldin/Urbanski,Graph Directed Markov Systems,Cambridge Tracts in Mathematics,Monographs,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Mathematics, Abstract Analysis, Differential and Integral Equations, Dynamical Systems and Control Theory, Recreational Mathematics",https://doi.org/10.1017/CBO9780511543050
9.78E+12,Price,Macroevolutionary Theory on Macroecological Patterns,,Professional and Individual Purchase,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Life Sciences, Ecology and Conservation, Evolutionary Biology",https://doi.org/10.1017/CBO9780511615030
9.78E+12,Manohar/Wise,Heavy Quark Physics,"Cambridge Monographs on Particle Physics, Nuclear Physics and Cosmology",Monographs,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Physics And Astronomy, Theoretical Physics and Mathematical Physics, Particle Physics and Nuclear Physics",https://doi.org/10.1017/CBO9780511529351
9.78E+12,Klauder,Beyond Conventional Quantization,,Monographs,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Physics And Astronomy, Quantum Physics, Quantum Information and Quantum Computation, Theoretical Physics and Mathematical Physics",https://doi.org/10.1017/CBO9780511524684
9.78E+12,Egginton/Taylor/Raven,Regulation of Tissue pH in Plants and Animals,Society for Experimental Biology Seminar Series,Monographs,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Life Sciences, Zoology",https://doi.org/10.1017/CBO9780511542640
9.78E+12,Kundzewicz,New Uncertainty Concepts in Hydrology and Water Resources,International Hydrology Series,Monographs,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Earth and Environmental Sciences, Mathematics, Earth and Environmental Science: General Interest, Environmental Science, Mathematical Modeling and Methods, Hydrology, Hydrogeology and Water Resources",https://doi.org/10.1017/CBO9780511564482
9.78E+12,Jaschek/Jaschek,The Behavior of Chemical Elements in Stars,,Monographs,Cambridge University Press,Cambridge Books Online,,https://doi.org/10.1017/CBO9780511661488
